index	solution_index	moves	attacks	slots	allowed	solution_count	board	solution
4	2	2	3	2	IMA,LAA,LMA	3	....\n.EE@\n...E\n.EE.	AD | AL | MD | ML | AD | S1 | S2 | R1(LMA-L/D) | R2(LAA-U/R)
4	3	2	3	2	IMA,LAA,LMA	3	....\n.EE@\n...E\n.EE.	AD | AL | ML | S1 | MD | AD | S2 | R1(LMA-L/D) | R2(LAA-U/R)
5	1	2	3	2	IMA,LAA,LMA	3	@.E.\n.E.E\n.EE.\n....	MR | AR | AD | S2 | S2 | MD | AD | S1 | R2(LMA-R/D) | R1(LAA-U/R)
5	2	2	3	2	IMA,LAA,LMA	3	@.E.\n.E.E\n.EE.\n....	MR | AR | AD | S2 | S2 | R2(LMA-D/L) | AD | S1 | MR | R1(LAA-R/D)
5	3	2	3	2	IMA,LAA,LMA	3	@.E.\n.E.E\n.EE.\n....	MD | AR | MR | AD | S2 | S2 | R2(LMA-R/D) | AU | S1 | R1(LAA-U/R)
6	1	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | AL | S1 | R1(LMA-D/R) | AD | S1 | R1(LAA-U/L)
6	2	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | MD | AR | AD | S1 | S2 | R1(LAA-U/L) | R2(LMA-U/L)
6	3	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | MD | AL | AD | S1 | S2 | R1(LAA-U/R) | R2(LMA-L/U)
6	4	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | S1 | MD | AR | AD | S2 | R2(LAA-U/L) | R1(LMA-U/L)
6	5	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | S1 | R1(LMA-D/R) | AD | AL | S1 | MU | R1(LAA-U/L)
6	6	2	3	2	IMA,LAA,LMA	6	.@E.\nE...\nE.E.\n.E..	AR | MD | S1 | R1(LMA-D/R) | AD | AL | S1 | ML | R1(LAA-U/R)
7	1	2	3	2	IMA,LAA,LMA	3	E@..\n.EE.\nE...\nE...	AD | AL | MD | AR | MD | S2 | R1(LAA-U/L) | R2(LMA-D/L)
7	2	2	3	2	IMA,LAA,LMA	3	E@..\n.EE.\nE...\nE...	AD | AL | MD | AR | S2 | MD | R1(LAA-U/L) | R2(LMA-D/L)
7	3	2	3	2	IMA,LAA,LMA	3	E@..\n.EE.\nE...\nE...	AD | AL | S1 | MD | AR | S2 | S2 | MD | R1(LAA-U/L) | R2(LMA-L/D)
8	1	2	3	2	IMA,LAA,LMA	1	....\nE.E.\n@..E\nE.E.	AU | AD | MR | S1 | R1(LMA-R/U) | AR | S2 | R2(LAA-R/D)
9	1	2	3	2	IMA,LAA,LMA	3	.E@.\n.EE.\n..E.\n...E	AD | AL | MD | AL | S2 | MR | R2(LMA-D/L) | R1(LAA-R/D)
9	2	2	3	2	IMA,LAA,LMA	3	.E@.\n.EE.\n..E.\n...E	AD | AL | MD | AL | S1 | S2 | R1(LAA-R/D) | MD | R2(LMA-R/D)
9	3	2	3	2	IMA,LAA,LMA	3	.E@.\n.EE.\n..E.\n...E	AD | AL | MD | AL | S1 | R1(LAA-R/D) | MD | S2 | R2(LMA-R/D)
10	1	2	3	2	IMA,LAA,LMA	1	....\n@.E.\nE..E\nE.E.	AD | MD | AD | MR | S1 | R1(LMA-R/D) | AR | S2 | R2(LAA-U/R)
11	1	2	3	2	IMA,LAA,LMA	1	..EE\n...E\n.@..\n.EE.	AD | MR | AD | S1 | MU | AR | S2 | R2(LAA-U/R) | R1(LMA-U/R)
12	1	2	3	2	IMA,LAA,LMA	2	...E\n@.EE\nEE..\n....	AD | MR | AR | AD | MR | S1 | R2(LAA-U/R) | R1(LMA-U/R)
12	2	2	3	2	IMA,LAA,LMA	2	...E\n@.EE\nEE..\n....	AD | MR | AR | AD | S1 | MR | R2(LAA-U/R) | R1(LMA-U/R)
13	1	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n.E..\n..@E	AR | MU | AU | AL | MU | S1 | R1(LMA-L/U) | R2(LAA-U/L)
13	2	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n.E..\n..@E	AR | MU | AU | AL | S1 | MU | R1(LMA-L/U) | R2(LAA-U/L)
13	3	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n.E..\n..@E	AR | MU | AU | AL | S1 | ML | R1(LMA-U/R) | R2(LAA-U/L)
14	1	2	3	2	IMA,LAA,LMA	3	..E.\nEE.@\n.E.E\n....	AD | ML | AU | AL | S1 | S2 | R2(LMA-L/U) | R1(LAA-D/L)
14	2	2	3	2	IMA,LAA,LMA	3	..E.\nEE.@\n.E.E\n....	AD | ML | AL | ML | AD | S1 | S2 | R2(LAA-U/L) | R1(LMA-R/U)
14	3	2	3	2	IMA,LAA,LMA	3	..E.\nEE.@\n.E.E\n....	AD | ML | S1 | AL | ML | AD | S2 | R2(LAA-U/L) | R1(LMA-R/U)
15	1	2	3	2	IMA,LAA,LMA	5	.@E.\nEE..\n.E..\nE...	AR | AD | MD | AL | S1 | ML | R1(LMA-D/R) | R2(LAA-R/D)
15	2	2	3	2	IMA,LAA,LMA	5	.@E.\nEE..\n.E..\nE...	AR | AD | ML | AD | S2 | MD | R2(LMA-D/R) | R1(LAA-R/D)
15	3	2	3	2	IMA,LAA,LMA	5	.@E.\nEE..\n.E..\nE...	AR | ML | AD | MD | AR | S1 | S2 | R1(LMA-D/R) | R2(LAA-R/D)
15	4	2	3	2	IMA,LAA,LMA	5	.@E.\nEE..\n.E..\nE...	AR | AD | S1 | MD | AL | R1(LAA-R/D) | MD | S1 | R1(LMA-D/L)
15	5	2	3	2	IMA,LAA,LMA	5	.@E.\nEE..\n.E..\nE...	AR | AD | S1 | MD | AL | S2 | S2 | R1(LAA-R/D) | MD | R2(LMA-D/L)
16	1	2	3	2	IMA,LAA,LMA	2	E.@.\n.EE.\nE...\n.E..	AD | ML | AD | S1 | AL | MD | R1(LMA-D/R) | R2(LAA-D/L)
16	2	2	3	2	IMA,LAA,LMA	2	E.@.\n.EE.\nE...\n.E..	ML | AD | AL | MD | AR | S1 | S2 | R2(LMA-D/L) | R1(LAA-R/D)
17	1	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | ML | AD | AL | MR | S1 | R1(LMA-D/R) | R2(LAA-R/D)
17	2	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | ML | AD | S1 | AL | MR | R1(LMA-D/L) | R2(LAA-R/D)
17	3	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | ML | AD | S1 | AL | MD | R1(LMA-R/D) | R2(LAA-U/R)
17	4	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | MD | AR | AD | S2 | R2(LAA-U/L) | ML | S1 | R1(LMA-L/U)
17	5	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | MD | AR | AL | S1 | S2 | R1(LAA-R/D) | ML | R2(LMA-U/L)
17	6	2	3	2	IMA,LAA,LMA	6	..E.\nE.@.\n.E.E\n..E.	AU | MD | AR | S1 | AD | R1(LAA-U/L) | ML | S1 | R1(LMA-U/L)
18	1	2	3	2	IMA,LAA,LMA	3	.EE.\nE..E\nE...\n.@..	MU | AL | MU | AU | AL | S1 | S2 | R1(LMA-R/U) | R2(LAA-U/R)
18	2	2	3	2	IMA,LAA,LMA	3	.EE.\nE..E\nE...\n.@..	MU | AL | S1 | S1 | MU | AU | AL | S2 | R1(LMA-R/U) | R2(LAA-U/R)
18	3	2	3	2	IMA,LAA,LMA	3	.EE.\nE..E\nE...\n.@..	MU | AL | S1 | S1 | R1(LMA-U/L) | AU | MR | AR | S1 | R1(LAA-U/R)
19	1	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n..E@\n.E..	AL | ML | AU | ML | AD | S1 | S2 | R2(LMA-U/R) | R1(LAA-U/L)
19	2	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n..E@\n.E..	AL | ML | AU | S2 | S2 | ML | AD | S1 | R2(LMA-U/R) | R1(LAA-U/L)
19	3	2	3	2	IMA,LAA,LMA	3	.E..\nE.E.\n..E@\n.E..	AL | ML | AU | S2 | S2 | R2(LMA-L/U) | AD | S1 | MU | R1(LAA-U/L)
20	1	2	3	2	IMA,LAA,LMA	4	..EE\n.EE.\n.@.E\n....	AU | MR | AU | S1 | AR | MU | R2(LAA-U/R) | R1(LMA-R/U)
20	2	2	3	2	IMA,LAA,LMA	4	..EE\n.EE.\n.@.E\n....	AU | MU | AR | MR | AU | S1 | S2 | R1(LMA-R/U) | R2(LAA-R/D)
20	3	2	3	2	IMA,LAA,LMA	4	..EE\n.EE.\n.@.E\n....	MR | AU | AR | S2 | S1 | R1(LMA-U/L) | AU | S2 | MU | R2(LAA-U/R)
20	4	2	3	2	IMA,LAA,LMA	4	..EE\n.EE.\n.@.E\n....	MR | AU | AR | S2 | S1 | R1(LMA-U/L) | AU | S2 | MR | R2(LAA-U/R)
