index	solution_index	moves	attacks	slots	allowed	solution_count	board	solution
4	3	2	3	2	IMA,LAA,LMA	5	..EE\n....\n.E.E\n.@.E	AU | MR | AR | S2 | S2 | MU | S1 | R1(IMA-R) | R2(IMA-U) | AL
4	4	2	3	2	IMA,LAA,LMA	5	..EE\n....\n.E.E\n.@.E	AU | MR | AR | S2 | S2 | MU | AR | R2(IMA-U) | S2 | S1 | R1(IMA-R)
4	5	2	3	2	IMA,LAA,LMA	5	..EE\n....\n.E.E\n.@.E	AU | MR | AR | S2 | S2 | MU | S1 | AR | R1(IMA-U) | S1 | R2(IMA-R)
5	1	2	3	2	IMA,LAA,LMA	1	.EE.\n....\nE...\n.EE@	AL | MU | S1 | ML | R1(LMA-L/D) | AL | S1 | S1 | R1(IMA-U) | AR
6	1	2	3	2	IMA,LAA,LMA	5	..E.\n....\n.EE@\n..EE	AD | AL | S1 | ML | R1(LAA-D/L) | MU | AU
6	2	2	3	2	IMA,LAA,LMA	5	..E.\n....\n.EE@\n..EE	AD | AL | ML | AD | S1 | MU | R2(LAA-U/R) | R1(LMA-L/D)
6	3	2	3	2	IMA,LAA,LMA	5	..E.\n....\n.EE@\n..EE	AD | AL | ML | AL | S1 | S2 | R1(LAA-R/D) | R2(IMA-U)
6	4	2	3	2	IMA,LAA,LMA	5	..E.\n....\n.EE@\n..EE	AD | AL | ML | AL | S2 | MU | R1(LAA-U/R) | R2(IMA-D)
6	5	2	3	2	IMA,LAA,LMA	5	..E.\n....\n.EE@\n..EE	AD | MD | S1 | AL | ML | S2 | R1(IMA-U) | AL | R2(IMA-U)
7	1	2	3	2	IMA,LAA,LMA	2	EE..\n...@\n.E.E\n.E..	AD | ML | S1 | R1(LMA-U/L) | ML | AL | S1 | S1 | R1(IMA-D) | AD
7	2	2	3	2	IMA,LAA,LMA	2	EE..\n...@\n.E.E\n.E..	AD | ML | S1 | R1(LMA-L/D) | MD | AD | S1 | S1 | R1(IMA-U) | AL
8	1	2	3	2	IMA,LAA,LMA	4	@E..\n....\n.EE.\n.E.E	AR | MR | S1 | R1(IMA-D) | AR | AD | MR | S2 | R2(LMA-R/D)
8	2	2	3	2	IMA,LAA,LMA	4	@E..\n....\n.EE.\n.E.E	AR | MR | S1 | R1(IMA-D) | AR | AD | MD | S2 | R2(IMA-R)
8	3	2	3	2	IMA,LAA,LMA	4	@E..\n....\n.EE.\n.E.E	AR | MR | S1 | R1(IMA-D) | AD | AR | MR | S1 | R1(LMA-R/D)
8	4	2	3	2	IMA,LAA,LMA	4	@E..\n....\n.EE.\n.E.E	AR | MR | S1 | R1(IMA-D) | AD | AR | MD | S1 | R1(IMA-R)
9	1	2	3	2	IMA,LAA,LMA	5	EE..\nE..E\n@.E.\n....	AU | MU | AU | S1 | MR | AU | S2 | R1(IMA-R) | R2(LMA-L/D)
9	2	2	3	2	IMA,LAA,LMA	5	EE..\nE..E\n@.E.\n....	AU | MU | AU | S1 | MR | AU | S2 | R1(IMA-R) | S1 | R2(LMA-L/D)
9	3	2	3	2	IMA,LAA,LMA	5	EE..\nE..E\n@.E.\n....	AU | MU | AU | S1 | MR | AU | R1(IMA-R) | S1 | S1 | R1(LMA-L/D)
9	4	2	3	2	IMA,LAA,LMA	5	EE..\nE..E\n@.E.\n....	AU | MR | AR | S2 | S2 | R2(IMA-U) | AL | MR | S1 | R1(LMA-D/R)
9	5	2	3	2	IMA,LAA,LMA	5	EE..\nE..E\n@.E.\n....	AU | S2 | MR | AR | S1 | S1 | R1(IMA-U) | AL | MR | S2 | R2(LMA-D/R)
10	1	2	3	2	IMA,LAA,LMA	5	....\n.E@E\n...E\nE..E	AR | AL | MR | S1 | AD | R1(IMA-D) | ML | S2 | R2(IMA-L)
10	2	2	3	2	IMA,LAA,LMA	5	....\n.E@E\n...E\nE..E	AR | AL | MD | AR | S1 | R1(LMA-D/R) | ML | S2 | R2(IMA-L)
10	3	2	3	2	IMA,LAA,LMA	5	....\n.E@E\n...E\nE..E	AL | AR | MR | S2 | AD | R2(IMA-D) | ML | S1 | R1(IMA-L)
10	4	2	3	2	IMA,LAA,LMA	5	....\n.E@E\n...E\nE..E	AL | AR | MD | AR | S2 | R2(LMA-D/R) | ML | S1 | R1(IMA-L)
10	5	2	3	2	IMA,LAA,LMA	5	....\n.E@E\n...E\nE..E	AR | MD | AR | S1 | R1(LMA-D/R) | ML | AL | S2 | S2 | R2(IMA-U)
11	1	2	3	2	IMA,LAA,LMA	5	E...\n@.E.\n..EE\nE...	AU | MD | AD | MR | AR | S1 | S2 | R2(LMA-R/D) | R1(LAA-U/R)
11	2	2	3	2	IMA,LAA,LMA	5	E...\n@.E.\n..EE\nE...	AU | MD | AD | S2 | S2 | R2(IMA-R) | AR | S1 | R1(LAA-U/R)
11	3	2	3	2	IMA,LAA,LMA	5	E...\n@.E.\n..EE\nE...	AU | MD | AD | S2 | S2 | MU | S1 | R1(IMA-R) | R2(IMA-D) | AR
11	4	2	3	2	IMA,LAA,LMA	5	E...\n@.E.\n..EE\nE...	AU | MD | AD | S2 | S2 | MR | S1 | AR | R1(LMA-R/U) | R2(IMA-R)
11	5	2	3	2	IMA,LAA,LMA	5	E...\n@.E.\n..EE\nE...	AU | MD | AD | S2 | S2 | MR | S1 | AR | R2(IMA-R) | R1(LMA-U/L)
12	1	2	3	2	IMA,LAA,LMA	5	EE..\nE...\n.@.E\n..E.	MR | AR | AD | S2 | S1 | ML | S2 | R1(IMA-U) | AL | R2(LMA-L/D)
12	2	2	3	2	IMA,LAA,LMA	5	EE..\nE...\n.@.E\n..E.	MR | AR | AD | S2 | S1 | ML | S2 | R2(LMA-U/L) | R1(IMA-U) | AL
12	3	2	3	2	IMA,LAA,LMA	5	EE..\nE...\n.@.E\n..E.	MR | AR | AD | S2 | S2 | MU | S1 | R1(LMA-L/U) | AL | R2(LMA-L/U)
12	4	2	3	2	IMA,LAA,LMA	5	EE..\nE...\n.@.E\n..E.	MR | AR | AD | S2 | S1 | ML | S2 | R1(IMA-U) | AL | S1 | R2(LMA-L/D)
12	5	2	3	2	IMA,LAA,LMA	5	EE..\nE...\n.@.E\n..E.	MR | AR | AD | S2 | S2 | MU | S1 | R1(LMA-L/U) | AL | S1 | R2(LMA-L/U)
13	1	2	3	2	IMA,LAA,LMA	5	E.E.\n.E..\n.E.E\n..@.	MU | AR | AL | S1 | ML | S2 | R2(IMA-U) | R1(LMA-U/R) | AL
13	2	2	3	2	IMA,LAA,LMA	5	E.E.\n.E..\n.E.E\n..@.	MU | AR | AL | S1 | R1(LMA-L/U) | MU | S1 | R1(LMA-U/L) | AR
13	3	2	3	2	IMA,LAA,LMA	5	E.E.\n.E..\n.E.E\n..@.	MU | AL | AR | S1 | R1(LMA-U/L) | AU | MU | S2 | R2(IMA-L)
13	4	2	3	2	IMA,LAA,LMA	5	E.E.\n.E..\n.E.E\n..@.	MU | AL | AR | S1 | R1(LMA-U/L) | AU | ML | S2 | R2(LMA-L/U)
13	5	2	3	2	IMA,LAA,LMA	5	E.E.\n.E..\n.E.E\n..@.	MU | AL | AR | S1 | S2 | R1(LMA-U/L) | AU | MU | S1 | R1(IMA-L)
14	1	2	3	2	IMA,LAA,LMA	5	....\nE..E\n@.EE\n.E..	AU | MR | AR | AD | MU | S1 | R1(IMA-R) | R2(LAA-R/D)
14	2	2	3	2	IMA,LAA,LMA	5	....\nE..E\n@.EE\n.E..	AU | MR | AR | AD | MR | S1 | R2(LAA-U/R) | R1(LMA-R/U)
14	3	2	3	2	IMA,LAA,LMA	5	....\nE..E\n@.EE\n.E..	AU | MR | AR | AD | S1 | MR | R2(LAA-U/R) | R1(LMA-R/U)
14	4	2	3	2	IMA,LAA,LMA	5	....\nE..E\n@.EE\n.E..	AU | MR | AR | S1 | AD | MR | S2 | R1(LAA-U/R) | R2(LMA-U/R)
14	5	2	3	2	IMA,LAA,LMA	5	....\nE..E\n@.EE\n.E..	AU | MR | AD | AR | S1 | S2 | MR | R1(LAA-U/R) | R2(LMA-U/R)
15	1	2	3	2	IMA,LAA,LMA	5	.E..\n@.E.\n..EE\n...E	MR | AU | AR | S2 | S1 | MR | S2 | R2(IMA-D) | AR | R1(LMA-D/R)
15	2	2	3	2	IMA,LAA,LMA	5	.E..\n@.E.\n..EE\n...E	MR | AU | AR | S2 | S1 | R1(LMA-D/R) | MR | S2 | R2(IMA-R) | AD
15	3	2	3	2	IMA,LAA,LMA	5	.E..\n@.E.\n..EE\n...E	MR | AU | AR | S2 | S2 | MD | AR | S1 | R2(IMA-R) | R1(LAA-R/D)
15	4	2	3	2	IMA,LAA,LMA	5	.E..\n@.E.\n..EE\n...E	MR | AU | AR | S2 | S1 | MR | AD | R1(LMA-D/R) | S1 | S1 | R1(LMA-R/D)
15	5	2	3	2	IMA,LAA,LMA	5	.E..\n@.E.\n..EE\n...E	MR | AU | AR | S2 | S1 | MR | S2 | R2(IMA-D) | AR | S2 | R1(LMA-D/R)
16	1	2	3	2	IMA,LAA,LMA	4	E...\nE...\n...E\nEE.@	AU | ML | AL | S2 | S2 | R2(IMA-L) | MU | AU | S1 | R1(IMA-U)
16	2	2	3	2	IMA,LAA,LMA	4	E...\nE...\n...E\nEE.@	AU | ML | AL | S2 | S2 | R2(IMA-L) | MU | S1 | R1(IMA-U) | AU
16	3	2	3	2	IMA,LAA,LMA	4	E...\nE...\n...E\nEE.@	AU | ML | AL | S2 | S2 | R2(IMA-L) | MU | AU | S1 | S2 | R1(IMA-U)
16	4	2	3	2	IMA,LAA,LMA	4	E...\nE...\n...E\nEE.@	AU | ML | AL | S2 | S2 | R2(IMA-L) | MU | AU | S2 | S2 | R2(IMA-U)
17	1	2	3	2	IMA,LAA,LMA	2	...E\n..E.\nE..E\n@.E.	AU | MR | S1 | AR | MR | S2 | R2(IMA-U) | R1(LMA-R/U) | AD
17	2	2	3	2	IMA,LAA,LMA	2	...E\n..E.\nE..E\n@.E.	MR | AR | S1 | S1 | MU | AL | S2 | S2 | R1(IMA-R) | R2(LMA-U/L) | AU
18	1	2	3	2	IMA,LAA,LMA	2	..E.\n...E\nE...\n@.EE	AU | MR | AR | MR | AR | S1 | S2 | R2(IMA-U) | R1(LAA-U/R)
18	2	2	3	2	IMA,LAA,LMA	2	..E.\n...E\nE...\n@.EE	AU | MR | AR | S2 | S2 | MR | AR | S1 | R2(IMA-U) | R1(LAA-U/R)
19	1	2	3	2	IMA,LAA,LMA	5	.EE.\n.@..\nE...\nEE..	AU | MU | S1 | AR | MD | S2 | R1(IMA-D) | AL | R2(LMA-U/L)
19	2	2	3	2	IMA,LAA,LMA	5	.EE.\n.@..\nE...\nEE..	AU | MU | S1 | AR | MD | S2 | R2(LMA-L/D) | R1(IMA-D) | AR
19	3	2	3	2	IMA,LAA,LMA	5	.EE.\n.@..\nE...\nEE..	AU | MR | AU | S1 | ML | S2 | R2(LMA-D/L) | AD | R1(LMA-L/D)
19	4	2	3	2	IMA,LAA,LMA	5	.EE.\n.@..\nE...\nEE..	AU | MU | S1 | AR | MD | S2 | R1(IMA-D) | AL | S1 | R2(LMA-U/L)
19	5	2	3	2	IMA,LAA,LMA	5	.EE.\n.@..\nE...\nEE..	AU | MU | S1 | AR | MD | R1(IMA-D) | AL | S1 | S1 | R1(LMA-L/U)
20	1	2	3	2	IMA,LAA,LMA	5	.E..\nE..E\nE.E.\n.@..	MU | AL | MU | AU | AL | S1 | S2 | R1(LMA-R/U) | R2(LAA-R/D)
20	2	2	3	2	IMA,LAA,LMA	5	.E..\nE..E\nE.E.\n.@..	MU | AL | AR | S1 | R1(LMA-U/L) | AU | MR | S1 | R1(IMA-R)
20	3	2	3	2	IMA,LAA,LMA	5	.E..\nE..E\nE.E.\n.@..	MU | AL | AR | S1 | R1(LMA-U/L) | AU | S1 | MR | R1(LAA-U/R)
20	4	2	3	2	IMA,LAA,LMA	5	.E..\nE..E\nE.E.\n.@..	MU | AL | AR | S1 | S2 | R1(LMA-U/L) | AU | MR | S2 | R2(IMA-R)
20	5	2	3	2	IMA,LAA,LMA	5	.E..\nE..E\nE.E.\n.@..	MU | AL | S1 | S1 | MU | AU | AL | S2 | R1(LMA-R/U) | R2(LAA-R/D)
21	1	2	3	2	IMA,LAA,LMA	5	...E\nEE..\n@E.E\n....	AU | MU | S1 | R1(IMA-R) | AD | MR | S1 | R1(LMA-R/D) | AU
21	2	2	3	2	IMA,LAA,LMA	5	...E\nEE..\n@E.E\n....	AU | AR | MR | S2 | AU | R2(IMA-R) | MU | S1 | R1(IMA-U)
21	3	2	3	2	IMA,LAA,LMA	5	...E\nEE..\n@E.E\n....	AU | AR | MR | S2 | AU | R2(IMA-R) | MU | S2 | R2(IMA-U)
21	4	2	3	2	IMA,LAA,LMA	5	...E\nEE..\n@E.E\n....	AU | AR | MR | S2 | R2(IMA-U) | MR | S1 | R1(LMA-R/U) | AD
21	5	2	3	2	IMA,LAA,LMA	5	...E\nEE..\n@E.E\n....	AU | AR | MR | S2 | R2(IMA-R) | MU | AU | S1 | R1(IMA-L)
22	1	2	3	2	IMA,LAA,LMA	5	.E.E\n..EE\n..E@\n....	AU | MU | AU | AL | ML | S1 | R2(LAA-R/D) | R1(LMA-L/U)
22	2	2	3	2	IMA,LAA,LMA	5	.E.E\n..EE\n..E@\n....	AU | AL | MU | AL | S2 | ML | R2(LMA-U/L) | R1(LAA-U/R)
22	3	2	3	2	IMA,LAA,LMA	5	.E.E\n..EE\n..E@\n....	AU | AL | ML | AU | S1 | MU | R1(LMA-U/R) | R2(LAA-U/L)
22	4	2	3	2	IMA,LAA,LMA	5	.E.E\n..EE\n..E@\n....	AU | MU | AU | S1 | R1(IMA-L) | MU | S1 | AL | R1(IMA-D)
22	5	2	3	2	IMA,LAA,LMA	5	.E.E\n..EE\n..E@\n....	AU | MU | AU | S1 | R1(IMA-L) | ML | AU | S1 | R1(LMA-R/D)
23	1	2	3	2	IMA,LAA,LMA	4	.EE.\n...E\nE..@\n..E.	AU | ML | S1 | ML | AL | S2 | S2 | R1(LMA-R/D) | R2(IMA-U) | AL
23	2	2	3	2	IMA,LAA,LMA	4	.EE.\n...E\nE..@\n..E.	ML | AD | S1 | S1 | MU | AR | S2 | S2 | AU | R2(LMA-L/U) | R1(LMA-L/D)
23	3	2	3	2	IMA,LAA,LMA	4	.EE.\n...E\nE..@\n..E.	ML | AD | S1 | S1 | MU | AR | S2 | S2 | AU | R2(LMA-L/U) | S2 | R1(LMA-L/D)
23	4	2	3	2	IMA,LAA,LMA	4	.EE.\n...E\nE..@\n..E.	ML | AD | S2 | S2 | MU | AR | S1 | S1 | AU | R1(LMA-L/U) | S1 | R2(LMA-L/D)
24	1	2	3	2	IMA,LAA,LMA	5	..E.\nEE@.\n.E.E\n....	AU | MD | AR | AL | S2 | ML | R1(LAA-U/R) | R2(LMA-U/L)
24	2	2	3	2	IMA,LAA,LMA	5	..E.\nEE@.\n.E.E\n....	AU | MD | AL | AR | ML | S2 | R2(IMA-U) | R1(LAA-U/L)
24	3	2	3	2	IMA,LAA,LMA	5	..E.\nEE@.\n.E.E\n....	AU | MD | AL | AR | S2 | ML | R1(LAA-U/R) | R2(LMA-L/U)
24	4	2	3	2	IMA,LAA,LMA	5	..E.\nEE@.\n.E.E\n....	AU | AL | MD | AR | S2 | MU | R2(LMA-L/U) | R1(LAA-D/L)
24	5	2	3	2	IMA,LAA,LMA	5	..E.\nEE@.\n.E.E\n....	MD | AR | AL | S1 | ML | S2 | R2(IMA-U) | AL | R1(LMA-R/U)
25	1	2	3	2	IMA,LAA,LMA	1	E...\n.E.E\n@.E.\n...E	MU | AU | AR | S2 | S1 | MD | S2 | R1(IMA-R) | R2(LMA-R/U) | AD
26	1	2	3	2	IMA,LAA,LMA	5	...E\n....\nE..E\n@.EE	AU | MR | AR | S2 | S2 | MU | S1 | R1(IMA-R) | AD | R2(IMA-U)
26	2	2	3	2	IMA,LAA,LMA	5	...E\n....\nE..E\n@.EE	AU | MR | AR | S2 | S2 | R2(IMA-R) | AU | MU | S1 | R1(IMA-U)
26	3	2	3	2	IMA,LAA,LMA	5	...E\n....\nE..E\n@.EE	AU | MR | AR | S2 | S2 | R2(IMA-R) | AU | MU | S2 | R2(IMA-U)
26	4	2	3	2	IMA,LAA,LMA	5	...E\n....\nE..E\n@.EE	AU | MR | AR | S2 | S2 | MU | S1 | R1(IMA-R) | AD | S1 | R2(IMA-U)
26	5	2	3	2	IMA,LAA,LMA	5	...E\n....\nE..E\n@.EE	AU | MR | AR | S2 | S2 | MU | S1 | R2(IMA-R) | AD | S2 | R1(IMA-U)
27	1	2	3	2	IMA,LAA,LMA	5	.EE.\nE.@.\nE...\n..E.	AU | ML | AU | S1 | AL | MD | R2(LAA-U/L) | R1(LMA-R/D)
27	2	2	3	2	IMA,LAA,LMA	5	.EE.\nE.@.\nE...\n..E.	AU | MD | AD | ML | AL | S1 | S2 | R2(LMA-U/L) | R1(LAA-U/R)
27	3	2	3	2	IMA,LAA,LMA	5	.EE.\nE.@.\nE...\n..E.	AU | ML | AU | AL | S1 | S2 | R2(LMA-D/L) | MR | R1(LAA-R/D)
27	4	2	3	2	IMA,LAA,LMA	5	.EE.\nE.@.\nE...\n..E.	AU | ML | AU | AL | S1 | S2 | R2(LMA-D/L) | MD | R1(LAA-U/R)
27	5	2	3	2	IMA,LAA,LMA	5	.EE.\nE.@.\nE...\n..E.	AU | MD | AD | S2 | S2 | ML | S1 | AL | R2(IMA-U) | R1(LMA-D/L)
28	1	2	3	2	IMA,LAA,LMA	5	....\n@.E.\n.E.E\n.E.E	MR | AR | AD | MD | AD | S1 | S2 | R2(IMA-R) | R1(LAA-R/D)
28	2	2	3	2	IMA,LAA,LMA	5	....\n@.E.\n.E.E\n.E.E	MR | AR | AD | S2 | S1 | MD | AD | S2 | R1(IMA-R) | R2(IMA-D)
28	3	2	3	2	IMA,LAA,LMA	5	....\n@.E.\n.E.E\n.E.E	MR | AR | AD | S2 | S1 | MD | S2 | R1(IMA-D) | R2(IMA-R) | AU
28	4	2	3	2	IMA,LAA,LMA	5	....\n@.E.\n.E.E\n.E.E	MR | AR | AD | S2 | S1 | R1(IMA-D) | MR | S2 | AR | R2(LMA-U/R)
28	5	2	3	2	IMA,LAA,LMA	5	....\n@.E.\n.E.E\n.E.E	MR | AR | S1 | S1 | R1(IMA-D) | AD | MR | S1 | AR | R1(LMA-R/D)
29	1	2	3	2	IMA,LAA,LMA	5	E...\n@EE.\n...E\n..E.	AU | AR | MR | AR | MD | S2 | R2(LMA-R/U) | R1(LAA-R/D)
29	2	2	3	2	IMA,LAA,LMA	5	E...\n@EE.\n...E\n..E.	AU | AR | MU | S1 | MD | S2 | R1(IMA-R) | R2(LMA-D/R) | AD
29	3	2	3	2	IMA,LAA,LMA	5	E...\n@EE.\n...E\n..E.	AU | AR | MR | S1 | MD | R1(LMA-R/U) | AD | S2 | R2(LAA-U/R)
29	4	2	3	2	IMA,LAA,LMA	5	E...\n@EE.\n...E\n..E.	AU | AR | MR | S1 | AR | MR | S2 | R1(LMA-D/R) | R2(IMA-D)
29	5	2	3	2	IMA,LAA,LMA	5	E...\n@EE.\n...E\n..E.	AU | AR | MR | S1 | AR | MR | S2 | R2(IMA-D) | R1(LMA-R/U)
30	1	2	3	2	IMA,LAA,LMA	5	....\n..E.\n@.EE\nE.E.	AD | MR | AR | MR | AU | S2 | R2(LAA-R/D)
30	2	2	3	2	IMA,LAA,LMA	5	....\n..E.\n@.EE\nE.E.	AD | MR | AR | S1 | MR | AU | R1(LAA-R/D)
30	3	2	3	2	IMA,LAA,LMA	5	....\n..E.\n@.EE\nE.E.	AD | MR | AR | S1 | MR | AD | R1(LAA-U/R)
30	4	2	3	2	IMA,LAA,LMA	5	....\n..E.\n@.EE\nE.E.	AD | MR | AR | MR | AU | S1 | S2 | R2(LAA-R/D)
30	5	2	3	2	IMA,LAA,LMA	5	....\n..E.\n@.EE\nE.E.	AD | MR | AR | S1 | MR | AU | S2 | R1(LAA-R/D)
