index	moves	attacks	slots	allowed	solution_count	board	first_solution	solutions
11	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\nE...\n....	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R)	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R) || AR | AD | MD | AD | MR | MR | S2 | R1(LAA-U/R) | R2(LMA-U/R) || AR | AD | MD | AD | MR | MR | S2 | R1(LAA-U/R) | R2(LMA-R/U) || AR | AD | MD | AD | MR | S2 | MR | R1(LAA-U/R) | R2(LMA-U/R) || AR | AD | MD | AD | MR | S2 | MR | R1(LAA-U/R) | R2(LMA-R/U)
12	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n.E..\n....	AR | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) | AL	AR | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) | AL || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-D/L) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) || AR | AD | MR | S2 | MD | S1 | AD | R1(LMA-R/U) | R2(LMA-U/R) || AR | AD | MR | S2 | MD | S1 | AD | R1(LMA-R/U) | R2(LMA-R/U)
13	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n.E..\n....	AR | MR | MD | AD | AL | MR | S1 | R1(IMA-U) | R2(LAA-U/R)	AR | MR | MD | AD | AL | MR | S1 | R1(IMA-U) | R2(LAA-U/R) || AR | MR | MD | AD | AL | S1 | MR | R2(LAA-U/R) | R1(LMA-U/R) || AR | MR | MD | AD | AL | S1 | MR | R2(LAA-U/R) | R1(LMA-R/U) || AR | MR | S1 | MD | AD | AL | MU | R1(IMA-R) | R2(LAA-U/R) || AR | MR | S1 | MD | AD | AL | MU | R2(LAA-U/R) | R1(IMA-R)
14	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n..E.\n....	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D)	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | S1 | MR | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S1 | R1(LMA-D/L) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S1 | R1(LMA-L/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D)
15	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n..E.\n....	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D)	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | S1 | MR | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | MR | MD | S1 | R2(LAA-R/D) | R1(LMA-U/R) || AR | AD | MR | AR | MR | MD | S1 | R2(LAA-R/D) | R1(LMA-R/U) || AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | MD | R1(IMA-D)
16	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n...E\n....	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | MD | R2(LAA-R/D)	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | MD | R2(LAA-R/D) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MR | S1 | R1(IMA-D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-R/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-D/R)
17	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n...E\n....	AR | AD | MR | AR | MR | MD | S1 | R1(LMA-R/U) | R2(LAA-R/D)	AR | AD | MR | AR | MR | MD | S1 | R1(LMA-R/U) | R2(LAA-R/D) || AR | AD | MR | AR | MR | S1 | R1(IMA-R) | MD | R2(LAA-R/D) || AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | MR | R1(IMA-D) || AR | AD | MR | AR | MR | R2(LAA-U/R) | MR | S1 | R1(IMA-D) || AR | AD | MR | AR | MR | R2(LAA-U/R) | MD | S1 | R1(LMA-D/R)
18	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n....\nE...	AR | MR | AR | S1 | MR | AR | S2 | MD | R1(IMA-L) | R2(IMA-D)	AR | MR | AR | S1 | MR | AR | S2 | MD | R1(IMA-L) | R2(IMA-D) || AR | MR | AR | S1 | MR | AR | S2 | MD | R1(IMA-L) | S1 | R2(IMA-D) || AR | MR | AR | S1 | MR | AR | S2 | MD | R2(IMA-L) | S2 | R1(IMA-D) || AD | MD | MD | AD | S1 | MR | R1(IMA-U) | AR | S1 | S1 | R1(IMA-R) || AD | MD | S1 | MD | AD | S2 | S2 | MR | R1(IMA-U) | AR | R2(IMA-R)
19	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n....\n.E..	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | MD | S1 | R1(LMA-D/L)	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | MD | S1 | R1(LMA-D/L) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | MD | S1 | R1(LMA-L/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | MD | R1(LMA-D/L) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | MD | R1(LMA-L/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | ML | R2(IMA-D)
20	2	3	2	IMA,LAA,LMA	2	@EEE\nE...\n....\n..E.	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D)	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D) || AD | AR | MR | S2 | R2(IMA-R) | AR | MD | S1 | R1(IMA-D)
21	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n....\n..E.	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | MD | R1(IMA-D)	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | MD | R1(IMA-D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D) || AD | AR | MR | S2 | R2(IMA-R) | AR | MD | S1 | R1(IMA-D) || AR | MR | S1 | MD | AL | MD | S2 | R2(LMA-R/D) | R1(IMA-U) | AR || AR | MR | S1 | ML | AD | R1(IMA-R) | AR | MD | S1 | R1(IMA-D)
22	2	3	2	IMA,LAA,LMA	2	@EEE\nE...\n....\n...E	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D)	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D) || AD | AR | MR | AR | S2 | R2(IMA-R) | MD | S1 | R1(IMA-D)
23	3	3	2	IMA,LAA,LMA	5	@EEE\nE...\n....\n...E	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D)	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D) || AD | AR | MR | AR | S2 | R2(IMA-R) | MD | S1 | R1(IMA-D) || AR | MR | AR | MD | AL | S1 | MR | S2 | R1(LMA-R/U) | R2(IMA-D) || AR | MR | AR | S1 | MD | AL | S2 | MR | R2(LMA-R/U) | R1(IMA-D) || AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | MD | MD | R2(LAA-R/D)
24	1	3	2	IMA,LAA,LMA	1	@EEE\n.EE.\n....\n....	AR | MR | S1 | AD | R1(IMA-R) | AR | S1 | R1(LAA-R/D)	AR | MR | S1 | AD | R1(IMA-R) | AR | S1 | R1(LAA-R/D)
25	2	3	2	IMA,LAA,LMA	5	@EEE\n.EE.\n....\n....	AR | MR | AR | AD | MR | R2(LAA-R/D)	AR | MR | AR | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-R/D) || AR | MR | AR | AD | S1 | MR | R1(LAA-R/D) || AR | MR | AR | S1 | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-U/R) | R1(IMA-D)
26	3	3	2	IMA,LAA,LMA	5	@EEE\n.EE.\n....\n....	AR | MR | AR | AD | MR | R2(LAA-R/D)	AR | MR | AR | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-R/D) || AR | MR | AR | AD | S1 | MR | R1(LAA-R/D) || AR | MR | AR | S1 | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-U/R) | R1(IMA-D)
27	1	3	2	IMA,LAA,LMA	1	@EEE\n.E.E\n....\n....	AR | MR | AR | AD | S1 | S2 | R2(IMA-R) | R1(LAA-R/D)	AR | MR | AR | AD | S1 | S2 | R2(IMA-R) | R1(LAA-R/D)
28	2	3	2	IMA,LAA,LMA	5	@EEE\n.E.E\n....\n....	AR | MR | AR | AD | MR | S1 | R1(IMA-R) | R2(LAA-R/D)	AR | MR | AR | AD | MR | S1 | R1(IMA-R) | R2(LAA-R/D) || AR | MR | AR | AD | S1 | S2 | R2(IMA-R) | R1(LAA-R/D) || AR | MR | AR | S1 | AD | MR | R1(IMA-R) | R2(LAA-R/D) || AR | MR | AR | S1 | AD | MD | R1(IMA-R) | R2(LAA-U/R) || AR | MR | AR | S1 | AD | R1(IMA-R) | ML | S1 | R1(LMA-R/D)
29	3	3	2	IMA,LAA,LMA	5	@EEE\n.E.E\n....\n....	AR | MR | AR | AD | MR | S1 | R1(IMA-R) | R2(LAA-R/D)	AR | MR | AR | AD | MR | S1 | R1(IMA-R) | R2(LAA-R/D) || AR | MR | AR | AD | S1 | S2 | R2(IMA-R) | R1(LAA-R/D) || AR | MR | AR | S1 | AD | MR | R1(IMA-R) | R2(LAA-R/D) || AR | MR | AR | S1 | AD | MD | R1(IMA-R) | R2(LAA-U/R) || AR | MR | AR | AD | MR | MD | S1 | R2(LAA-U/R) | R1(LMA-U/R)
30	2	3	2	IMA,LAA,LMA	5	@EEE\n.E..\nE...\n....	MD | AR | AD | S2 | S1 | MR | AU | S2 | R1(LMA-R/U) | R2(LMA-U/R)	MD | AR | AD | S2 | S1 | MR | AU | S2 | R1(LMA-R/U) | R2(LMA-U/R) || MD | AR | AD | S2 | S1 | MR | AU | S2 | R1(LMA-R/U) | R2(LMA-R/U) || MD | AR | AD | S2 | S1 | MR | S2 | R1(LMA-R/U) | R2(LMA-U/R) | AL || MD | AR | AD | S2 | S1 | MR | S2 | R1(LMA-R/U) | R2(LMA-U/L) | AR || MD | AR | AD | S2 | S2 | MR | S1 | R1(IMA-U) | AR | R2(IMA-R)
